Symbols,Symbols latex,Standard,Hybrid,Opposition
a,$a$,T,T
b,$b$,T,T
c,$c$,T,T
d,$d$,T,T
x,$x$,T,T
y,$y$,T,T
g,$g$,T,T
h,$h$,T,T
m,$m$,T,T
n,$n$,T,T
alpha,$alpha$,T,T
ceta,$ceta$,T,T
Omega,$Omega$,T,T
zeta,$zeta$,T,T
lamda,$lambda$,T,T
xi,$xi$,T,T
Gamma,$Gamma$,T,T
